record_id,site_mut,water_type,datetime,src,qc,temp_field,do_percent_field,do_mg_l_field,spc_field,ec_field,ph_field,orp_field,turbidity_field,cl_field,no3_field,nh4_field,nh3_field,notes_field,field_data_complete,ec_lab,ph_lab,turbidity_lab,tn_mg_l,tp_mg_l,notes_lab,lab_data_complete,q_coolac_ml_day,q_berthong_ml_day,q_jindalee_ml_day,q_coolac_temp,q_coolac_spc,q_coolac_ec,flow_data_complete,cl_mg_l,no2_mg_l,no3_mg_l,br_mg_l,hco3_mg_l,so4_mg_l,po4_mg_l,na_mg_l,ca_mg_l,mg_mg_l,k_mg_l,s_mg_l,major_ions_complete,tds_mg_l,p_mg_l,al_mg_l,fe_mg_l,si_mg_l,ic_mg_l,other_ion_and_salt_data_complete,cl_meq_l,no3_meq_l,hco3_meq_l,so4_meq_l,na_meq_l,ca_meq_l,mg_meq_l,k_meq_l,anion_sum,cation_sum,ion_balance,ionic_balance_check,ion_balance_complete
201008110000_SW04_Berthong,27,2,11/08/2010 0:00,2,3,8.7,,,235,,7.95,,,,,,,,0,,,,,,,0,,,,,,,0,50.21,,,,,6.79,,28.84,14.07,8.48,11.52,3.94,0,,0.14,,,,76.82,0,1.42,,,0.14,1.25,0.7,0.7,0.29,1.56,2.94,31,,0
201008110800_SW03_Cootamundry,26,2,11/08/2010 8:00,2,3,8.7,,,875,,7.65,,,,,,,,0,,,,,,,0,,,,,,,0,276.2,,,,,44.06,,157.66,57.64,32.97,11.5,20.67,0,,0.03,,,,143.92,0,7.79,,,0.92,6.86,2.88,2.71,0.29,8.71,12.74,19,,0
201008110805_SW20_Cootamundry12A,43,2,11/08/2010 8:05,2,3,9,,,795,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,253.53,,,,,23.01,,140.12,49.61,29.37,9.46,14.16,0,,0.04,,,,126.73,0,7.15,,,0.48,6.09,2.48,2.42,0.24,7.63,11.23,19,,0
201008110810_SW36_NashsLane,59,2,11/08/2010 8:10,2,3,9.3,,,388,,7.55,,,,,,,,0,,,,,,,0,,,,,,,0,71.63,,,,,10.05,,48.68,21,11.89,17.82,6.25,0,,1.14,,,,135.99,0,2.02,,,0.21,2.12,1.05,0.98,0.46,2.23,4.61,35,,0
201008110830_SW16_BrawlinRoadCreek,39,2,11/08/2010 8:30,2,3,8.8,,,495,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,123.72,,,,,66.38,,95.47,45.15,25.21,14.03,33.05,0,,0.1,,,,148.08,0,3.49,,,1.38,4.15,2.25,2.07,0.36,4.87,8.83,29,,0
201008110850_SW15_MuttamaCreek,38,2,11/08/2010 8:50,2,3,9.9,,,140,,7.5,,,,,,,,0,,,,,,,0,,,,,,,0,34.56,,,,,2.95,,22.37,7.45,5.04,5.75,2.09,0,,0.1,,,,60.92,0,0.97,,,0.06,0.97,0.37,0.41,0.15,1.03,1.9,30,,0
201008110900_SW26_ReefCreek,49,2,11/08/2010 9:00,2,3,9.5,,,600,,8.5,,,,,,,,0,,,,,,,0,,,,,,,0,139.7,,,,,12.41,,87.23,36.9,37.29,4.92,6.45,0,,0.05,,,,202.96,0,3.94,,,0.26,3.79,1.84,3.07,0.13,4.2,8.83,36,,0
201008110915_SW27_LongView,50,2,11/08/2010 9:15,2,3,9.2,,,560,,8.5,,,,,,,,0,,,,,,,0,,,,,,,0,134.84,,,,,7.86,,77.21,33.69,38.49,7.18,8.53,0,,0.13,,,,222.38,0,3.8,,,0.16,3.36,1.68,3.17,0.18,3.96,8.39,36,,0
201008110930_SW13_Wambidgee,36,2,11/08/2010 9:30,2,3,8.8,,,530,,7.84,,,,,,,,0,,,,,,,0,,,,,,,0,149.16,,,,,15.32,,81.32,31.98,25.94,9.16,10.69,0,,0.09,,,,145.8,0,4.21,,,0.32,3.54,1.6,2.13,0.23,4.53,7.5,25,,0
201008110945_SW05_Cunjegong,28,2,11/08/2010 9:45,2,3,9,,,137,,7.6,,,,,,,,0,,,,,,,0,,,,,,,0,34.05,,,,,2.62,,21.96,6.87,4.81,5.35,1.82,0,,0.09,,,,51.28,0,0.96,,,0.05,0.96,0.34,0.4,0.14,1.01,1.84,29,,0
201008110955_SW08_SheepStation,31,2,11/08/2010 9:55,2,3,9.1,,,145,,7.5,,,,,,,,0,,,,,,,0,,,,,,,0,40.76,,,,,2.14,,24.85,6.33,5.62,3.25,1.79,0,,0.05,,,,45.98,0,1.15,,,0.04,1.08,0.32,0.46,0.08,1.19,1.94,24,,0
201008111200_SW06_Jindalee,29,2,11/08/2010 12:00,2,3,9.1,,,1335,,8.45,,,,,,,,0,,,,,,,0,,,,,,,0,358.7,,,,,102.71,,118.29,158.27,120.98,13.42,44.31,0,,0.06,,,,441.52,0,10.12,,,2.14,5.15,7.9,9.96,0.34,12.26,23.35,31,,0
201008111300_SW11_Glenarchy,34,2,11/08/2010 13:00,2,3,9.3,,,800,,7.95,,,,,,,,0,,,,,,,0,,,,,,,0,224.65,,,,,39.33,,124.4,50.91,36.14,15.75,21.83,0,,0.07,,,,127.16,0,6.34,,,0.82,5.41,2.54,2.97,0.4,7.16,11.32,23,,0
201008111510_SW35_BradmanOval,58,2,11/08/2010 15:10,2,3,9.2,,,240,,7.6,,,,,,,,0,,,,,,,0,,,,,,,0,44.47,,,,,5.31,,28.47,13.21,7.8,13.77,3.27,0,,0.65,,,,92.65,0,1.25,,,0.11,1.24,0.66,0.64,0.35,1.36,2.89,36,,0
201008111645_SW21_CoolacMingay,44,2,11/08/2010 16:45,2,3,9.2,,,163,,7.6,,,,,,,,0,,,,,,,0,,,,,,,0,34.98,,,,,3.4,,21.88,9.23,8.1,4.62,2.96,0,,0.07,,,,69.31,0,0.99,,,0.07,0.95,0.46,0.67,0.12,1.06,2.2,35,,0
201008111715_SW21_CoolacMingay,44,2,11/08/2010 17:15,2,3,9.5,,,113,,7.6,,,,,,,,0,,,,,,,0,,,,,,,0,20.78,,,,,2.91,,14.64,6.11,6.32,4.57,2.08,0,,0.09,,,,67.83,0,0.59,,,0.06,0.64,0.3,0.52,0.12,0.65,1.58,42,,0
201008111730_SW02_HoarseLane,25,2,11/08/2010 17:30,2,3,10.5,,,500,,7.93,,,,,,,,0,,,,,,,0,,,,,,,0,71.14,,,,,12.37,,41.86,26.21,67.41,8.12,4.75,0,,0.22,,,,305.72,0,2.01,,,0.26,1.82,1.31,5.55,0.21,2.27,8.89,59,,0
201008111740_SW22_ArmoursLane,45,2,11/08/2010 17:40,2,3,10,,,325,,7.6,,,,,,,,0,,,,,,,0,,,,,,,0,77.55,,,,,11.75,,51.49,18.27,13.41,7.92,6.18,0,,0.07,,,,101.34,0,2.19,,,0.24,2.24,0.91,1.1,0.2,2.43,4.45,29,,0
201008111750_SW18_Tarkarella,41,2,11/08/2010 17:50,2,3,9.36,,,102,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,10.57,,,,,2.26,,12.51,4.83,7.29,2.53,1.97,0,,0.03,,,,67.83,0,0.3,,,0.05,0.54,0.24,0.6,0.06,0.35,1.44,61,,0
201008111800_SW09_Bongongolong,32,2,11/08/2010 18:00,2,3,9.5,,,120,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,24.67,,,,,0,,17.95,6.73,5.42,3.64,1.72,0,,0.06,,,,53.9,0,0.7,,,0,0.78,0.34,0.45,0.09,0.7,1.66,41,,0
201008120815_SW06_Jindalee,29,2,12/08/2010 8:15,2,3,6.8,,,366,,8.1,,,,,,,,0,,,,,,,0,,,,,,,0,65.63,,,,,11.19,,26.33,39.43,23.98,11.03,10.87,0,,0.15,,,,162.52,0,1.85,,,0.23,1.15,1.97,1.97,0.28,2.08,5.37,44,,0
201008120850_SW04_Berthong,27,2,12/08/2010 8:50,2,3,7.2,,,160,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,30.11,,,,,2.92,,18.44,11.55,6.17,9.84,3.84,0,,0.2,,,,72.46,0,0.85,,,0.06,0.8,0.58,0.51,0.25,0.91,2.14,40,,0
201008120910_SW35_BradmanOval,58,2,12/08/2010 9:10,2,3,7.1,,,190,,7.5,,,,,,,,0,,,,,,,0,,,,,,,0,34.2,,,,,0.15,,21.38,11.72,6.47,12.4,3.77,0,,0.44,,,,92.01,0,0.96,,,0,0.93,0.58,0.53,0.32,0.96,2.36,42,,0
201008120920_SW03_Cootamundry,26,2,12/08/2010 9:20,2,3,8,,,270,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,71.07,,,,,10.58,,40.93,16.14,8.85,8.21,5.27,0,,0.14,,,,75.33,0,2,,,0.22,1.78,0.81,0.73,0.21,2.22,3.53,23,,0
201008120930_SW20_Cootamundry12A,43,2,12/08/2010 9:30,2,3,8,,,255,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,66.53,,,,,5.37,,40.18,15.95,8.73,8.16,5.27,0,,0.13,,,,78.37,0,1.88,,,0.11,1.75,0.8,0.72,0.21,1.99,3.48,27,,0
201008120950_SW36_NashsLane,59,2,12/08/2010 9:50,2,3,7.4,,,240,,7.45,,,,,,,,0,,,,,,,0,,,,,,,0,51.46,,,,,9.5,,30.02,14.28,8.25,13.65,5.45,0,,0.45,,,,101.08,0,1.45,,,0.2,1.31,0.71,0.68,0.35,1.65,3.05,30,,0
201008121015_SW33_SECootaNorth,56,2,12/08/2010 10:15,2,3,8.3,,,960,,8.3,,,,,,,,0,,,,,,,0,,,,,,,0,264.35,,,,,18.96,,118.05,86.31,54.9,12.59,13.64,0,,0.09,,,,211.39,0,7.46,,,0.39,5.13,4.31,4.52,0.32,7.85,14.28,29,,0
201008121030_SW28_CullingaCreekEast,51,2,12/08/2010 10:30,2,3,8.3,,,570,,8.4,,,,,,,,0,,,,,,,0,,,,,,,0,117.19,,,,,19.03,,70.71,45.76,34.26,14.04,8.62,0,,0.21,,,,218.55,0,3.31,,,0.4,3.08,2.28,2.82,0.36,3.71,8.54,39,,0
201008121045_SW29_CullingaCreekMain,52,2,12/08/2010 10:45,2,3,9,,,460,,8.4,,,,,,,,0,,,,,,,0,,,,,,,0,80.78,,,,,17.69,,44.36,39,24.95,13.03,7.61,0,,0.27,,,,192.52,0,2.28,,,0.37,1.93,1.95,2.05,0.33,2.65,6.26,41,,0
201008121100_SW16_BrawlinRoadCreek,39,2,12/08/2010 11:00,2,3,8.5,,,226,,7.95,,,,,,,,0,,,,,,,0,,,,,,,0,48.47,,,,,7.93,,32.59,14.39,7.76,9.76,6.68,0,,0.14,,,,85.06,0,1.37,,,0.17,1.42,0.72,0.64,0.25,1.54,3.03,33,,0
201008121120_SW32_WavehillNorth,55,2,12/08/2010 11:20,2,3,8.8,,,200,,8.1,,,,,,,,0,,,,,,,0,,,,,,,0,24.3,,,,,3.72,,8.35,22.01,8.97,18.04,4.59,0,,0.49,,,,117.8,0,0.69,,,0.08,0.36,1.1,0.74,0.46,0.77,2.66,55,,0
