record_id,site_mut,water_type,datetime,src,qc,temp_field,do_percent_field,spc_field,ec_field,ph_field,turbidity_field,ec_lab,ph_lab,tn_mg_l,tp_mg_l,cl_mg_l,hco3_mg_l,so4_mg_l,na_mg_l,ca_mg_l,mg_mg_l,k_mg_l
201008110000_SW04_Berthong,27,2,11/08/2010 0:00,2,3,8.7,,235,,7.95,,,,,,50.21,,6.79,28.84,14.07,8.48,11.52
201008110800_SW03_Cootamundry,26,2,11/08/2010 8:00,2,3,8.7,,875,,7.65,,,,,,276.2,,44.06,157.66,57.64,32.97,11.5
201008110805_SW20_Cootamundry12A,43,2,11/08/2010 8:05,2,3,9,,795,,7.7,,,,,,253.53,,23.01,140.12,49.61,29.37,9.46
201008110810_SW36_NashsLane,59,2,11/08/2010 8:10,2,3,9.3,,388,,7.55,,,,,,71.63,,10.05,48.68,21,11.89,17.82
201008110830_SW16_BrawlinRoadCreek,39,2,11/08/2010 8:30,2,3,8.8,,495,,7.7,,,,,,123.72,,66.38,95.47,45.15,25.21,14.03
201008110850_SW15_MuttamaCreek,38,2,11/08/2010 8:50,2,3,9.9,,140,,7.5,,,,,,34.56,,2.95,22.37,7.45,5.04,5.75
201008110900_SW26_ReefCreek,49,2,11/08/2010 9:00,2,3,9.5,,600,,8.5,,,,,,139.7,,12.41,87.23,36.9,37.29,4.92
201008110915_SW27_LongView,50,2,11/08/2010 9:15,2,3,9.2,,560,,8.5,,,,,,134.84,,7.86,77.21,33.69,38.49,7.18
201008110930_SW13_Wambidgee,36,2,11/08/2010 9:30,2,3,8.8,,530,,7.84,,,,,,149.16,,15.32,81.32,31.98,25.94,9.16
201008110945_SW05_Cunjegong,28,2,11/08/2010 9:45,2,3,9,,137,,7.6,,,,,,34.05,,2.62,21.96,6.87,4.81,5.35
201008110955_SW08_SheepStation,31,2,11/08/2010 9:55,2,3,9.1,,145,,7.5,,,,,,40.76,,2.14,24.85,6.33,5.62,3.25
201008111200_SW06_Jindalee,29,2,11/08/2010 12:00,2,3,9.1,,1335,,8.45,,,,,,358.7,,102.71,118.29,158.27,120.98,13.42
201008111300_SW11_Glenarchy,34,2,11/08/2010 13:00,2,3,9.3,,800,,7.95,,,,,,224.65,,39.33,124.4,50.91,36.14,15.75
201008111510_SW35_BradmanOval,58,2,11/08/2010 15:10,2,3,9.2,,240,,7.6,,,,,,44.47,,5.31,28.47,13.21,7.8,13.77
201008111645_SW21_CoolacMingay,44,2,11/08/2010 16:45,2,3,9.2,,163,,7.6,,,,,,34.98,,3.4,21.88,9.23,8.1,4.62
201008111715_SW21_CoolacMingay,44,2,11/08/2010 17:15,2,3,9.5,,113,,7.6,,,,,,20.78,,2.91,14.64,6.11,6.32,4.57
201008111730_SW02_HoarseLane,25,2,11/08/2010 17:30,2,3,10.5,,500,,7.93,,,,,,71.14,,12.37,41.86,26.21,67.41,8.12
201008111740_SW22_ArmoursLane,45,2,11/08/2010 17:40,2,3,10,,325,,7.6,,,,,,77.55,,11.75,51.49,18.27,13.41,7.92
201008111750_SW18_Tarkarella,41,2,11/08/2010 17:50,2,3,9.36,,102,,7.7,,,,,,10.57,,2.26,12.51,4.83,7.29,2.53
201008111800_SW09_Bongongolong,32,2,11/08/2010 18:00,2,3,9.5,,120,,7.7,,,,,,24.67,,0,17.95,6.73,5.42,3.64
201008120815_SW06_Jindalee,29,2,12/08/2010 8:15,2,3,6.8,,366,,8.1,,,,,,65.63,,11.19,26.33,39.43,23.98,11.03
201008120850_SW04_Berthong,27,2,12/08/2010 8:50,2,3,7.2,,160,,7.7,,,,,,30.11,,2.92,18.44,11.55,6.17,9.84
201008120910_SW35_BradmanOval,58,2,12/08/2010 9:10,2,3,7.1,,190,,7.5,,,,,,34.2,,0.15,21.38,11.72,6.47,12.4
201008120920_SW03_Cootamundry,26,2,12/08/2010 9:20,2,3,8,,270,,7.7,,,,,,71.07,,10.58,40.93,16.14,8.85,8.21
201008120930_SW20_Cootamundry12A,43,2,12/08/2010 9:30,2,3,8,,255,,7.7,,,,,,66.53,,5.37,40.18,15.95,8.73,8.16
201008120950_SW36_NashsLane,59,2,12/08/2010 9:50,2,3,7.4,,240,,7.45,,,,,,51.46,,9.5,30.02,14.28,8.25,13.65
201008121015_SW33_SECootaNorth,56,2,12/08/2010 10:15,2,3,8.3,,960,,8.3,,,,,,264.35,,18.96,118.05,86.31,54.9,12.59
201008121030_SW28_CullingaCreekEast,51,2,12/08/2010 10:30,2,3,8.3,,570,,8.4,,,,,,117.19,,19.03,70.71,45.76,34.26,14.04
201008121045_SW29_CullingaCreekMain,52,2,12/08/2010 10:45,2,3,9,,460,,8.4,,,,,,80.78,,17.69,44.36,39,24.95,13.03
201008121100_SW16_BrawlinRoadCreek,39,2,12/08/2010 11:00,2,3,8.5,,226,,7.95,,,,,,48.47,,7.93,32.59,14.39,7.76,9.76
201008121120_SW32_WavehillNorth,55,2,12/08/2010 11:20,2,3,8.8,,200,,8.1,,,,,,24.3,,3.72,8.35,22.01,8.97,18.04
201008121140_SW15_MuttamaCreek,38,2,12/08/2010 11:40,2,3,8.4,,110,,7.68,,,,,,24.18,,2.76,15.59,5.64,3.72,4.62
