Date,Obs Depth (m),Piezo,Site,SN,Final GW Depth (m),Source
2013-12-02,-5,GW03,Coolac,1062914,-5.021557925613815,Automatic correction
2013-12-03,NA,GW03,Coolac,1062914,-5.021557925613815,Automatic correction
2013-12-04,NA,GW03,Coolac,1062914,-5.021557925613815,Automatic correction
2013-12-05,NA,GW03,Coolac,1062914,-5.021557925613815,Automatic correction
2013-12-06,NA,GW03,Coolac,1062914,-5.021557925613815,Automatic correction
2013-12-07,NA,GW03,Coolac,1062914,-5.021557925613815,Automatic correction
2013-12-08,NA,GW03,Coolac,1062914,-4.937982836616211,Automatic correction
2013-12-09,NA,GW03,Coolac,1062914,-4.937982836616211,Automatic correction
2013-12-10,NA,GW03,Coolac,1062914,-5.006517436811272,Automatic correction
2013-12-11,NA,GW03,Coolac,1062914,-4.9967347460011435,Automatic correction
2013-12-12,NA,GW03,Coolac,1062914,-4.991700006105377,Automatic correction
2013-12-13,NA,GW03,Coolac,1062914,-4.9942492414956385,Automatic correction
2013-12-14,NA,GW03,Coolac,1062914,-4.989947406774572,Automatic correction
2013-12-15,NA,GW03,Coolac,1062914,-4.979949624228391,Automatic correction
2013-12-16,NA,GW03,Coolac,1062914,-4.978690939254449,Automatic correction
2013-12-17,NA,GW03,Coolac,1062914,-4.977456153362291,Automatic correction
2013-12-18,NA,GW03,Coolac,1062914,-4.976771046351159,Automatic correction
2013-12-19,NA,GW03,Coolac,1062914,-4.987900052101769,Automatic correction
2013-12-20,NA,GW03,Coolac,1062914,-4.987900052101769,Automatic correction
2013-12-21,NA,GW03,Coolac,1062914,-5.037817267587327,Automatic correction
2013-12-22,NA,GW03,Coolac,1062914,-5.062210263727891,Automatic correction
2013-12-23,NA,GW03,Coolac,1062914,-5.065285278917395,Automatic correction
2013-12-24,NA,GW03,Coolac,1062914,-5.065285278917395,Automatic correction
2013-12-25,NA,GW03,Coolac,1062914,-5.032224882449941,Automatic correction
2013-12-26,NA,GW03,Coolac,1062914,-5.055566318992023,Automatic correction
2013-12-27,NA,GW03,Coolac,1062914,-5.079441501693941,Automatic correction
2013-12-28,NA,GW03,Coolac,1062914,-5.099397234983332,Automatic correction
2013-12-29,NA,GW03,Coolac,1062914,-5.102814803678401,Automatic correction
2013-12-30,NA,GW03,Coolac,1062914,-5.0832255229763605,Automatic correction
2013-12-31,NA,GW03,Coolac,1062914,-5.0867466543591595,Automatic correction
