site_mut,site_code,site_name,site_longname,y,x,alt_name
1,GW03,Coolac,GW03_Coolac,-34.92968,148.16614,
2,GW04,FairviewRoad,GW04_FairviewRoad,-34.8234,148.0687,
3,GW05,FairviewField,GW05_FairviewField,-34.8241,148.0708,
4,GW06,BrawlinRoad,GW06_BrawlinRoad,-34.7819,148.0588,
5,GW07,BrawlinFarFence,GW07_BrawlinFarFence,-34.7849,148.0551,
6,GW08,WavehillHospital,GW08_WavehillAnimallHospital,-34.7435,148.1453,
7,GW09,WavehillWindmill,GW09_WavehillWindmill,-34.7403,148.1464,
8,GW10,GlenarchyMiddleArtesian,GW10_GlenarchyMiddleArtesian,-34.5693,148.0415,
9,GW11,GlenarchyCreekShallow,GW11_GlenarchyCreekShallow,-34.5696,148.0398,
10,GW12,GlenarchyFarField,GW12_GlenarchyFarField,-34.5701,148.0445,
11,GW13,AmarooDeep,GW13_AmarooDeep,-34.6537,147.9109,
12,GW14,DinyahShallowBerthong,GW14_DinyahShallowBerthong,-34.60038,148.01662,
13,GW15,DinyahDeepBerthong,GW15_DinyahDeepBerthong,-34.60041,148.01663,
14,GW16,AmarooShallow,GW16_AmarooShallow,-34.6536,147.9111,
15,GW17,DaiseyvaleShallow,GW17_DaiseyvaleShallow,-34.5988,148.0802,
16,GW18,DaiseyvaleDeep,GW18_DaiseyvaleDeep,-34.5988,148.0802,
17,GW19,MunroeDeep,GW19_MunroeDeep,-34.6072,148.0763,
18,GW20,MunroeShallow,GW20_MunroeShallow,-34.6072,148.0763,
19,GW21,DinyahHopes7Deep,GW21_DinyahHopes7Deep,-34.57282,148.00674,
20,GW22,DinyahHopes7Shallow,GW22_DinyahHopes7Shallow,-34.57417,148.00595,
21,GW23,DinyahLaneway,GW23_DinyahLaneway,-34.588,148.0134,
22,GW24,DinyahCloseToHouse,GW24_DinyahCloseToHouse,-34.591,148.01505,
23,GW25,BrawlinSpringsInPlantation,GW25_BrawlinSpringsInPlantation,-34.77937,148.059527,
24,SW01,Coolac,SW01_Coolac,-34.9304,148.1628,
25,SW02,HoarseLane,SW02_HoarseLane,-34.89382,148.17458,
26,SW03,Cootamundry,SW03_Cootamundry,-34.65325,148.01474,
27,SW04,Berthong,SW04_Berthong,-34.59575565,148.017297,
28,SW05,Cunjegong,SW05_Cunjegong,-34.74706504,148.0450949,
29,SW06,Jindalee,SW06_Jindalee,-34.5755085,148.0889632,
30,SW07,RomaniEntry,SW07_RomaniEntry,-34.75394,148.05391,
31,SW08,SheepStation,SW08_SheepStation,-34.81188,148.08716,Bongalong
32,SW09,Bongongolong,SW09_Bongongolong,-34.89327,148.09206,
33,SW10,DinyahHomeCreek,SW10_DinyahHomeCreek,-34.59101,148.01666,
34,SW11,Glenarchy,SW11_Glenarchy,-34.56926,148.03915,
35,SW12,DinyahMixingFresh,SW12_DinyahMixingFresh,-34.594441,148.017404,Bullora
36,SW13,Wambidgee,SW13_Wambidgee,-34.86985,148.12592,
37,SW14,FairviewCreek,SW14_FairviewCreek,-34.823373,148.069493,
38,SW15,MuttamaCreek,SW15_MuttamaCreek,-34.80497,148.11099,
39,SW16,BrawlinRoadCreek,SW16_BrawlinRoadCreek,-34.73515186,148.0487768,
40,SW17,CunjegongWest,SW17_CunjegongWest,-34.70096,147.94299,
41,SW18,Tarkarella,SW18_Tarkarella,-34.90746201,148.1253344,
42,SW19,Cootamundry12C,SW19_Cootamundry12C,-34.64862,148.00357,
43,SW20,Cootamundry12A,SW20_Cootamundry12A,-34.65788,148.03065,
44,SW21,CoolacMingay,SW21_CoolacMingay,-34.97247954,148.146826,
45,SW22,ArmoursLane,SW22_ArmoursLane,-34.903849,148.155177,
46,SW23,BongongolongHeadwater,SW23_BongongolongHeadwater,-34.89507,148.060755,Burra Creek
47,SW24,YammtreeMid,SW24_YammtreeMid,-34.89056374,148.0594731,
48,SW25,BurraCreekNorth,SW25_BurraCreekNorth,-34.88398999,148.0609484,
49,SW26,ReefCreek,SW26_ReefCreek,-34.8098972,148.1214952,
50,SW27,LongView,SW27_LongView,-34.84304387,148.1261202,
51,SW28,CullingaCreekEast,SW28_CullingaCreekEast,-34.69439888,148.1114638,
52,SW29,CullingaCreekMain,SW29_CullingaCreekMain,-34.733198,148.076588,
53,SW30,AthloneNorth,SW30_AthloneNorth,-34.781082,148.067831,
54,SW31,AthloneSouth,SW31_AthloneSouth,-34.788749,148.069057,
55,SW32,WavehillNorth,SW32_WavehillNorth,-34.76663753,148.0908369,
56,SW33,SECootaNorth,SW33_SECootaNorth,-34.671884,148.052336,
57,SW34,BigDam,SW34_BigDam,-34.685565,148.03426,
58,SW35,BradmanOval,SW35_BradmanOval,-34.62658,148.021472,
59,SW36,NashsLane,SW36_NashsLane,-34.656227,148.034624,
60,SW37,GlenarchySth,SW37_DinyahMixingSalt,-34.5944474,148.0174178,
61,SW38,BlackSpring,SW38_BlackSpring,-34.883529,148.227528,
62,SW39,CootaTown,SW39_CootaTown,-34.643937,148.024822,
