Publication year,Number of Papers,Percentage
2022,5,1.123595506
2021,4,0.898876404
2020,3,0.674157303
2019,7,1.573033708
2018,2,0.449438202
2017,5,1.123595506
2016,4,0.898876404
2015,8,1.797752809
2014,11,2.471910112
2013,10,2.247191011
2012,12,2.696629213
2011,18,4.04494382
2010,21,4.719101124
2009,23,5.168539326
2008,20,4.494382022
2007,22,4.943820225
2006,31,6.966292135
2005,26,5.842696629
2004,12,2.696629213
2003,28,6.292134831
2002,27,6.06741573
2001,32,7.191011236
2000,8,1.797752809
1999,11,2.471910112
1998,7,1.573033708
1997,12,2.696629213
1996,10,2.247191011
1995,7,1.573033708
1994,17,3.820224719
1993,9,2.02247191
1992,8,1.797752809
1991,4,0.898876404
1990,7,1.573033708
1989,4,0.898876404
1988,1,0.224719101
1987,2,0.449438202
1984,3,0.674157303
1983,3,0.674157303
1982,1,0.224719101
